timestamp,red,ir
1766327390.5439146,122916,116533
1766327390.5548656,122738,116407
1766327390.565823,122845,116511
1766327390.576808,122845,116511
1766327390.5877664,122767,116424
1766327390.5988019,122594,116382
1766327390.609785,122594,116382
1766327390.6207557,122594,116382
1766327390.6317093,122812,116433
1766327390.642737,122397,116325
1766327390.6536925,122397,116325
1766327390.6646936,122397,116325
1766327390.6756709,122813,116418
1766327390.6866283,122354,116299
1766327390.697589,122354,116299
1766327390.7085443,122861,116451
1766327390.7195082,122413,116331
1766327390.7304738,122413,116331
1766327390.7414272,122413,116331
1766327390.7523794,122892,116458
1766327390.7633336,122453,116351
1766327390.7743242,122453,116351
1766327390.7852798,122897,116440
1766327390.796233,122520,116350
1766327390.807185,122520,116350
1766327390.8181484,122520,116350
1766327390.8291018,122916,116462
1766327390.840054,122608,116400
1766327390.8510067,122608,116400
1766327390.8619587,122608,116400
1766327390.872916,122726,116360
1766327390.8838675,122575,116395
1766327390.894819,122575,116395
1766327390.9057703,122422,116283
1766327390.9167252,122596,116395
1766327390.9276764,122596,116395
1766327390.938627,122596,116395
1766327390.9495783,122330,116219
1766327390.9605293,122637,116408
1766327390.9715016,122637,116408
1766327390.982466,122637,116408
1766327390.993419,122357,116240
1766327391.0043726,122669,116411
1766327391.0153315,122669,116411
1766327391.0263019,122375,116244
1766327391.0372543,122751,116449
1766327391.0482059,122751,116449
1766327391.059157,122751,116449
1766327391.0701175,122446,116263
1766327391.081244,122751,116467
1766327391.0923266,122751,116467
1766327391.1034038,122492,116275
1766327391.114423,122827,116472
1766327391.1253977,122827,116472
1766327391.136355,122827,116472
1766327391.147309,122540,116305
1766327391.1582649,122859,116486
1766327391.1692421,122859,116486
1766327391.18023,122859,116486
1766327391.1911855,122520,116298
1766327391.2021377,122919,116528
1766327391.2130928,122919,116528
1766327391.22406,122546,116323
1766327391.2350142,122927,116502
1766327391.2459655,122927,116502
1766327391.2569182,122927,116502
1766327391.2678833,122593,116326
1766327391.2788396,122917,116498
1766327391.2897997,122917,116498
1766327391.3007545,122917,116498
1766327391.3117075,122917,116498
1766327391.3226712,122897,116477
1766327391.3336256,122897,116477
1766327391.3445773,122706,116362
1766327391.355529,122581,116350
1766327391.3664863,122581,116350
1766327391.3774803,122581,116350
1766327391.3884456,122747,116380
1766327391.3994527,122354,116260
1766327391.4105165,122354,116260
1766327391.42149,122799,116408
1766327391.4324465,122350,116264
1766327391.4433985,122350,116264
1766327391.454351,122350,116264
1766327391.4653113,122826,116401
1766327391.4762654,122388,116274
1766327391.4872162,122388,116274
1766327391.498168,122388,116274
1766327391.5091193,122832,116405
1766327391.5200782,122404,116300
1766327391.5310335,122404,116300
1766327391.541986,122863,116419
1766327391.552954,122497,116335
1766327391.5639124,122497,116335
1766327391.5748947,122497,116335
1766327391.58585,122885,116423
1766327391.5968857,122562,116367
1766327391.6078491,122562,116367
1766327391.6188207,122562,116367
1766327391.6297786,122571,116355
1766327391.640731,122571,116355
1766327391.6517787,122571,116355
1766327391.662732,122911,116420
1766327391.6736958,122584,116355
1766327391.6846519,122584,116355
1766327391.6956012,122584,116355
1766327391.7065556,122737,116353
1766327391.7175148,122572,116309
1766327391.728505,122572,116309
1766327391.7394586,122470,116256
1766327391.7504113,122662,116388
1766327391.7613654,122662,116388
1766327391.7723598,122662,116388
1766327391.7833223,122351,116190
1766327391.794275,122738,116407
1766327391.805226,122738,116407
1766327391.8161898,122738,116407
1766327391.827141,122337,116202
1766327391.8380923,122767,116424
1766327391.8490431,122767,116424
1766327391.8599942,122391,116222
1766327391.8709545,122812,116433
1766327391.8819077,122812,116433
1766327391.8928592,122812,116433
1766327391.9038093,122455,116240
1766327391.914765,122813,116418
1766327391.9257166,122813,116418
1766327391.9366684,122813,116418
1766327391.947619,122813,116418
1766327391.9585698,122861,116451
1766327391.969524,122861,116451
1766327391.9805021,122544,116282
1766327391.991454,122892,116458
1766327392.0024052,122892,116458
1766327392.0133557,122892,116458
1766327392.0243456,122538,116274
1766327392.035434,122897,116440
1766327392.0464368,122897,116440
1766327392.057393,122578,116281
1766327392.0683615,122916,116462
1766327392.0793295,122916,116462
1766327392.0902824,122916,116462
1766327392.1012325,122609,116287
1766327392.1121876,122726,116360
1766327392.1231465,122726,116360
1766327392.1340973,122726,116360
1766327392.1450524,122665,116320
1766327392.1560047,122422,116283
1766327392.1669621,122422,116283
1766327392.1779535,122728,116332
1766327392.1889086,122330,116219
1766327392.1998594,122330,116219
1766327392.210811,122330,116219
1766327392.221773,122766,116350
1766327392.2327313,122357,116240
1766327392.2436867,122357,116240
1766327392.2546391,122357,116240
1766327392.2656,122357,116240
1766327392.2765543,122375,116244
1766327392.2875054,122375,116244
1766327392.298457,122823,116374
1766327392.3094084,122446,116263
1766327392.3203661,122446,116263
1766327392.3313172,122446,116263
1766327392.3422713,122847,116372
1766327392.3532295,122492,116275
1766327392.3641906,122492,116275
1766327392.3751686,122853,116358
1766327392.3861344,122540,116305
1766327392.397102,122540,116305
1766327392.4082072,122540,116305
1766327392.419207,122886,116384
1766327392.4301853,122520,116298
1766327392.4411387,122520,116298
1766327392.4520912,122520,116298
1766327392.4630437,122850,116366
1766327392.474001,122546,116323
1766327392.4849539,122546,116323
1766327392.495905,122600,116267
1766327392.5068572,122593,116326
1766327392.5178154,122593,116326
1766327392.5287683,122593,116326
1766327392.5397205,122382,116176
1766327392.5506706,122917,116498
1766327392.5616288,122917,116498
1766327392.5726302,122917,116498
1766327392.5835905,122917,116498
1766327392.594712,122706,116362
1766327392.6056857,122706,116362
1766327392.616651,122370,116177
1766327392.627609,122747,116380
1766327392.6385648,122747,116380
1766327392.649517,122747,116380
1766327392.6604724,122411,116197
